TUCASEID,GEMETSTA,GTMETSTA,PEEDUCA,PEHSPNON,PTDTRACE,TEAGE,TELFS,TEMJOT,TESCHENR,TESCHLVL,TESEX,TESPEMPNOT,TRCHILDNUM,TRDPFTPT,TRERNWA,TRHOLIDAY,TRSPFTPT,TRSPPRES,TRYHHCHILD,TUDIARYDAY,TUFNWGTP,TEHRUSLT,TUYEAR,TU20FWGT,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50
20190101190022,-1,1,40,2,2,85,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,2286291.439799,-1,2019,2041308.279500,690,0,0,0,0,0,0,0,0,0,30,420,0,240,0,0,60,0
20190101190031,-1,1,37,1,1,25,1,2,2,-1,2,1,1,2,16500,0,1,2,3,4,53729031.431663,20,2019,47103357.504077,540,13,0,0,0,0,0,0,0,0,10,877,0,0,0,0,0,0
20190101190057,-1,1,40,1,1,20,1,2,2,-1,2,-1,0,2,30000,0,-1,3,-1,5,23789098.911461,20,2019,20895103.079970,705,0,5,0,390,0,0,0,0,0,30,300,0,0,0,10,0,0
20190101190107,-1,1,42,1,1,61,4,-1,-1,-1,2,2,0,-1,-1,0,-1,1,-1,3,22241500.157859,-1,2019,28980104.112026,450,75,588,0,0,0,0,0,0,0,40,100,0,0,0,0,187,0
20190101190555,-1,2,43,2,1,34,1,2,2,-1,1,1,1,1,-1,0,3,1,2,1,2599756.619860,-4,2019,2955963.485442,495,0,130,0,75,0,0,0,0,0,110,580,0,0,0,0,50,0
20190101190565,-1,1,43,2,1,53,1,2,-1,-1,2,1,0,1,211538,0,1,2,-1,3,17223160.514212,40,2019,17129339.799519,390,150,0,18,460,0,6,0,0,0,0,60,0,0,110,60,186,0
20190101190568,-1,1,32,1,1,26,1,2,2,-1,2,1,3,2,25000,0,1,1,3,1,5515375.655517,33,2019,7075636.670308,900,120,30,0,0,0,0,0,0,0,45,345,0,0,0,0,0,0
20190101190587,-1,1,43,1,1,45,1,2,2,-1,1,2,4,1,48000,0,-1,1,4,1,7640780.010151,50,2019,7206594.555020,540,270,65,0,0,0,30,0,0,0,135,180,0,0,0,0,70,150
20190101190607,-1,2,39,2,1,85,5,-1,-1,-1,1,-1,0,-1,-1,0,-1,3,-1,1,2865211.663099,-1,2019,2779560.736657,535,580,0,0,0,0,60,0,0,0,75,90,0,0,0,60,40,0
20190101190654,-1,1,43,2,1,74,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,3,17748277.199617,-1,2019,17132194.803736,260,165,0,0,0,0,360,65,0,0,90,300,0,0,0,0,200,0
20190101190677,-1,1,41,2,1,85,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,2290433.497900,-1,2019,2103203.957185,635,40,0,0,0,0,0,0,10,0,50,485,0,0,0,55,0,165
20190101190703,-1,1,40,2,2,36,1,2,2,-1,1,-1,0,1,65300,0,-1,3,-1,5,5831622.586220,40,2019,5891652.792060,427,0,0,0,690,0,0,0,0,0,0,318,0,0,0,0,5,0
20190101190725,-1,1,39,2,2,67,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,4,7116737.697129,-1,2019,6703170.507627,667,75,0,0,0,0,0,95,0,0,35,410,0,0,0,0,80,78
20190101190755,-1,1,44,2,1,40,1,2,2,-1,1,2,5,1,178846,0,-1,1,4,1,1994509.936820,50,2019,2042111.480417,510,0,145,0,150,0,0,0,0,0,90,240,0,120,165,0,20,0
20190101190757,-1,1,43,2,1,53,1,2,-1,-1,1,1,0,1,144230,0,1,1,-1,5,21721841.137096,52,2019,19634167.393199,565,50,0,0,592,0,3,0,0,0,35,100,45,0,0,0,50,0
20190101190760,-1,1,40,2,1,77,5,-1,-1,-1,2,2,0,-1,-1,0,-1,1,-1,3,10432997.718080,-1,2019,10006536.443229,620,199,0,30,0,0,175,0,0,0,45,151,57,0,0,40,76,47
20190101190778,-1,1,42,2,1,40,1,2,2,-1,1,-1,1,1,116100,0,-1,3,9,1,2438151.526197,54,2019,2496341.146629,625,520,40,0,0,0,60,0,0,0,85,60,0,0,0,0,50,0
20190101190790,-1,1,43,2,1,52,1,2,-1,-1,1,1,0,1,86538,0,1,1,-1,4,20913244.132109,40,2019,18670726.313835,585,210,0,0,5,0,200,20,0,0,50,175,0,0,0,120,75,0
20190101190802,-1,1,39,2,1,52,1,2,-1,-1,1,1,1,1,146153,0,1,1,6,5,13517841.481708,-4,2019,13828426.032055,430,60,50,0,610,0,0,0,0,0,105,90,0,0,0,0,95,0
20190101190817,-1,1,43,2,1,37,1,2,2,-1,2,1,2,2,-1,0,1,1,3,1,3669781.997381,15,2019,3480213.620627,485,240,160,0,0,0,15,0,0,0,160,160,180,0,0,0,40,0
20190101190827,-1,2,34,2,1,74,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,3,17576712.264670,-1,2019,19851870.844816,670,45,0,0,0,0,0,0,0,0,105,620,0,0,0,0,0,0
20190101190838,-1,1,37,2,1,18,5,-1,1,1,1,-1,1,-1,-1,0,-1,3,15,1,5343299.134406,-1,2019,5116644.044177,670,120,0,0,0,170,0,0,0,0,70,300,0,0,0,20,35,55
20190101190855,-1,1,40,2,1,76,5,-1,-1,-1,1,-1,0,-1,-1,0,-1,3,-1,2,5712924.781399,-1,2019,5521387.093755,542,62,0,47,0,0,0,0,0,0,0,656,60,0,0,9,64,0
20190101190877,-1,2,40,2,1,67,5,-1,-1,-1,2,1,0,-1,-1,0,1,1,-1,4,18659623.161653,-1,2019,17632629.235290,960,180,0,0,0,0,0,0,0,0,30,260,0,0,0,10,0,0
20190101190912,-1,1,43,2,1,68,1,2,-1,-1,1,1,0,1,192307,0,2,1,-1,4,11287941.418438,50,2019,10178136.862612,600,0,0,0,465,0,0,0,0,0,150,165,0,0,0,0,60,0
20190101190950,-1,1,37,2,4,18,5,-1,1,1,1,-1,0,-1,-1,0,-1,3,-1,4,32322075.148457,-1,2019,29065692.591127,498,1,0,0,0,505,0,0,0,0,85,314,0,0,0,0,37,0
20190101190955,-1,1,43,2,2,68,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,3919019.789642,-1,2019,3630550.790426,490,541,0,0,0,0,15,0,0,0,87,75,0,0,0,184,48,0
20190101190969,-1,1,46,2,4,80,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,2,5716189.319487,-1,2019,5475011.350172,480,95,0,0,0,0,0,0,0,0,35,180,0,0,595,0,55,0
20190101190971,-1,1,39,1,1,65,1,2,-1,-1,1,1,0,1,130000,0,1,1,-1,1,6056709.341348,50,2019,5660959.069530,870,245,0,0,0,0,45,0,0,0,110,120,0,0,0,0,50,0
20190101190992,-1,1,45,2,1,64,1,2,-1,-1,1,2,0,2,-1,0,-1,1,-1,1,6017664.404948,32,2019,5725101.691358,465,150,0,0,0,0,0,0,0,0,150,555,0,0,0,0,120,0
20190101190993,-1,1,43,2,1,74,5,-1,-1,-1,2,-1,2,-1,-1,0,-1,3,1,5,6495347.044140,-1,2019,7770663.972662,990,0,0,0,0,0,0,0,0,0,90,360,0,0,0,0,0,0
20190101190996,-1,1,39,2,1,19,1,2,1,2,1,-1,0,2,21600,0,-1,3,-1,1,15333799.962761,14,2019,14032113.135865,600,10,0,0,475,100,0,0,0,0,30,200,0,0,0,0,25,0
20190101191026,-1,1,44,2,1,68,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,5,5258046.715023,-1,2019,5030541.054698,450,105,0,265,0,0,0,0,0,0,55,450,75,0,0,0,30,10
20190101191042,-1,1,42,2,2,47,1,1,2,-1,2,-1,2,2,43200,0,-1,3,3,4,3163450.808186,26,2019,3270329.773309,440,60,120,0,320,0,55,0,0,0,40,200,0,60,0,0,145,0
20190101191054,-1,1,40,2,1,59,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,2427399.105900,-1,2019,2858999.188770,600,85,0,120,0,0,0,0,0,0,30,605,0,0,0,0,0,0
20190101191111,-1,1,46,2,1,33,1,2,2,-1,1,1,1,1,240000,0,2,1,1,2,9377271.725166,40,2019,9068729.413487,510,35,60,0,525,0,10,0,0,0,120,140,0,0,0,0,40,0
20190101191192,-1,1,44,2,1,42,1,2,2,-1,1,-1,0,1,288461,0,-1,3,-1,4,7824892.786223,50,2019,6337929.549811,530,10,0,0,361,0,10,0,0,0,80,100,0,0,0,0,289,60
20190101191219,-1,1,41,2,1,58,5,-1,-1,-1,1,-1,0,-1,-1,0,-1,3,-1,1,4120859.679651,-1,2019,4020929.000052,600,270,0,0,0,0,0,0,0,0,60,510,0,0,0,0,0,0
20190101191238,-1,1,39,2,2,40,5,-1,1,2,2,-1,3,-1,-1,0,-1,3,6,1,7969496.238703,-1,2019,7620877.894691,595,305,170,0,0,260,8,0,0,0,60,0,0,25,0,5,12,0
